adresse_disposer_fk	client_fk
1	1
2	1
3	2
4	3
5	4
6	5
7	6
8	7
9	7
10	8
11	9
12	10
13	11
14	12
15	13
16	14
17	14
18	15
19	15
20	16
21	17
22	18
23	19
24	20
25	21
26	22
27	23
28	24
29	25
30	26
31	27
32	27
33	28
34	28
35	29
36	29
37	30
38	30
39	31
40	32
41	33
42	34
43	34
44	35
45	36
46	36
47	37
48	38
49	39
50	40
51	40
52	41
53	42
54	43
55	43
56	44
57	45
58	46
59	47
60	48
61	49
62	49
63	50
64	51
65	52
66	53
67	54
68	54
69	55
70	55
71	56
72	57
73	58
74	59
75	60
76	61
77	61
78	62
79	63
80	63
81	64
82	64
83	65
84	66
85	66
86	67
87	67
88	68
89	69
90	70
91	71
92	71
93	72
94	73
95	74
96	75
97	76
98	77
99	78
100	79
101	80
102	81
103	82
104	83
105	84
106	84
107	85
108	86
109	87
110	88
111	88
112	89
113	90
114	90
115	91
116	92
117	93
118	94
119	94
120	95
121	96
122	97
123	98
124	98
125	99
126	99
127	100
128	101
129	102
130	102
131	103
132	104
133	104
134	105
135	106
136	107
137	108
138	109
139	110
140	111
141	112
142	113
143	114
144	115
145	116
146	117
147	118
148	119
149	120
150	121
151	121
152	122
153	123
154	123
155	124
156	125
157	126
158	127
159	127
160	128
161	128
162	129
163	130
164	131
165	132
166	132
167	133
168	134
169	135
170	136
171	137
172	138
173	138
174	139
175	140
176	140
177	141
178	142
179	142
180	143
181	144
182	145
183	146
184	147
185	148
186	149
187	150
188	151
189	152
190	153
191	154
192	155
193	156
194	157
195	158
196	159
197	160
198	161
199	162
200	163
201	164
202	165
203	166
204	166
205	167
206	167
207	168
208	169
209	170
210	171
211	172
212	173
213	174
214	175
215	176
216	177
217	177
218	178
219	179
220	180
221	181
222	182
223	183
224	184
225	185
226	185
227	186
228	186
229	187
230	188
231	189
232	189
233	190
234	191
235	191
236	192
237	192
238	193
239	193
240	194
241	195
242	196
243	197
244	197
245	198
246	199
247	200
248	200
249	201
250	202
251	203
252	203
253	204
254	205
255	206
256	207
257	208
258	209
259	210
260	211
261	212
262	213
263	214
264	215
265	216
266	217
267	217
268	218
269	219
270	219
271	220
