livreur_effectuer_fk	livraison_effectuer_fk
5	7
4	8
6	11
1	16
3	19
1	21
3	22
3	27
5	28
4	29
2	30
3	31
5	35
6	37
3	41
6	42
2	44
2	45
1	48
6	49
5	51
3	52
6	55
6	56
1	57
4	58
1	59
6	62
6	64
1	65
2	68
2	71
5	74
1	75
6	81
2	82
6	84
5	85
2	87
2	89
1	94
3	95
2	97
1	103
6	104
5	105
4	106
1	108
6	113
5	115
2	116
5	119
3	122
2	130
6	131
2	137
2	139
5	144
5	145
2	146
5	147
2	150
3	151
1	155
2	156
1	158
4	159
3	160
1	162
2	163
5	165
3	167
3	168
2	170
2	171
5	172
1	182
4	183
1	189
3	192
3	193
1	194
6	200
1	201
6	203
3	204
3	211
1	216
6	218
6	221
3	222
4	223
1	229
1	232
6	234
1	235
4	237
5	243
2	246
2	249
4	250
1	251
3	258
2	259
6	262
5	263
6	267
4	268
1	269
5	273
3	276
3	284
3	297
5	299
6	300
4	301
3	303
6	310
3	312
4	313
1	316
6	318
2	321
5	323
6	324
4	325
6	326
6	327
1	331
3	333
2	334
1	338
1	339
4	340
3	341
3	342
4	343
5	345
5	352
5	355
4	356
1	361
4	362
5	363
6	364
6	365
4	375
6	380
4	382
5	384
3	389
5	391
6	392
6	393
5	395
2	396
5	397
1	404
1	405
6	408
6	409
2	410
4	413
6	415
2	416
4	417
1	418
5	419
4	420
4	424
2	425
2	430
6	431
6	432
1	435
4	441
3	444
4	449
2	450
6	454
4	455
5	458
5	461
6	468
6	472
4	474
5	476
3	477
4	479
5	480
2	481
6	486
1	487
3	490
4	493
4	496
1	498
2	500
5	501
2	502
5	505
2	507
1	512
4	514
3	516
3	517
4	518
2	519
1	525
4	526
2	532
2	533
1	535
5	537
3	538
1	539
5	542
4	544
5	547
