livraison_id	date_depart	date_arrivee	distance_estimee	commande_id_commande_affecter_fk
7	16.01.2025 01:31	16.01.2025 01:37	null	7
8	16.01.2025 05:36	16.01.2025 05:49	null	8
11	16.01.2025 17:47	16.01.2025 17:59	null	11
16	17.01.2025 00:11	17.01.2025 00:21	null	16
19	17.01.2025 06:06	17.01.2025 06:21	null	19
21	17.01.2025 14:49	17.01.2025 14:55	null	21
22	17.01.2025 15:26	17.01.2025 15:36	null	22
27	18.01.2025 12:18	18.01.2025 12:36	null	27
28	18.01.2025 12:53	18.01.2025 13:03	null	28
29	18.01.2025 17:26	18.01.2025 17:40	null	29
30	18.01.2025 19:46	18.01.2025 19:59	null	30
31	19.01.2025 00:56	19.01.2025 01:14	null	31
35	19.01.2025 04:47	19.01.2025 05:04	null	35
37	19.01.2025 06:42	19.01.2025 06:54	null	37
41	19.01.2025 11:38	19.01.2025 11:55	null	41
42	19.01.2025 13:59	19.01.2025 14:11	null	42
44	19.01.2025 14:13	19.01.2025 14:28	null	44
45	19.01.2025 15:02	19.01.2025 15:17	null	45
48	19.01.2025 19:43	19.01.2025 19:53	null	48
49	19.01.2025 21:51	19.01.2025 22:02	null	49
51	20.01.2025 00:06	20.01.2025 00:11	null	51
52	20.01.2025 02:21	20.01.2025 02:29	null	52
55	20.01.2025 06:13	20.01.2025 06:21	null	55
56	20.01.2025 09:43	20.01.2025 09:51	null	56
57	20.01.2025 10:30	20.01.2025 10:43	null	57
58	20.01.2025 11:31	20.01.2025 11:42	null	58
59	20.01.2025 13:09	20.01.2025 13:18	null	59
62	20.01.2025 16:00	20.01.2025 16:17	null	62
64	20.01.2025 18:39	20.01.2025 18:47	null	64
65	21.01.2025 00:00	21.01.2025 00:18	null	65
68	21.01.2025 01:17	21.01.2025 01:33	null	68
71	21.01.2025 04:31	21.01.2025 04:49	null	71
74	22.01.2025 01:01	22.01.2025 01:18	null	74
75	22.01.2025 01:53	22.01.2025 02:04	null	75
81	22.01.2025 06:38	22.01.2025 06:46	null	81
82	22.01.2025 07:51	22.01.2025 08:07	null	82
84	22.01.2025 11:09	22.01.2025 11:23	null	84
85	22.01.2025 13:12	22.01.2025 13:28	null	85
87	22.01.2025 22:57	22.01.2025 23:15	null	87
89	22.01.2025 22:59	22.01.2025 23:08	null	89
94	23.01.2025 13:34	23.01.2025 13:49	null	94
95	23.01.2025 14:03	23.01.2025 14:18	null	95
97	23.01.2025 16:47	23.01.2025 17:01	null	97
103	24.01.2025 02:12	24.01.2025 02:22	null	103
104	24.01.2025 04:16	24.01.2025 04:31	null	104
105	24.01.2025 04:47	24.01.2025 05:01	null	105
106	24.01.2025 08:25	24.01.2025 08:40	null	106
108	24.01.2025 11:34	24.01.2025 11:44	null	108
113	24.01.2025 13:30	24.01.2025 13:45	null	113
115	24.01.2025 23:02	24.01.2025 23:11	null	115
116	25.01.2025 00:48	25.01.2025 00:56	null	116
119	25.01.2025 05:23	25.01.2025 05:36	null	119
122	25.01.2025 12:43	25.01.2025 12:51	null	122
130	26.01.2025 10:22	26.01.2025 10:36	null	130
131	26.01.2025 13:12	26.01.2025 13:30	null	131
137	27.01.2025 05:12	27.01.2025 05:22	null	137
139	27.01.2025 06:09	27.01.2025 06:17	null	139
144	27.01.2025 12:35	27.01.2025 12:43	null	144
145	27.01.2025 16:37	27.01.2025 16:47	null	145
146	27.01.2025 17:42	27.01.2025 17:55	null	146
147	28.01.2025 00:38	28.01.2025 00:47	null	147
150	28.01.2025 12:06	28.01.2025 12:23	null	150
151	28.01.2025 12:43	28.01.2025 12:52	null	151
155	28.01.2025 19:36	28.01.2025 19:49	null	155
156	28.01.2025 20:54	28.01.2025 21:10	null	156
158	29.01.2025 01:57	29.01.2025 02:14	null	158
159	29.01.2025 01:51	29.01.2025 02:02	null	159
160	29.01.2025 11:39	29.01.2025 11:53	null	160
162	29.01.2025 14:40	29.01.2025 14:56	null	162
163	29.01.2025 14:46	29.01.2025 14:54	null	163
165	29.01.2025 15:30	29.01.2025 15:45	null	165
167	29.01.2025 19:25	29.01.2025 19:35	null	167
168	29.01.2025 21:43	29.01.2025 21:55	null	168
170	30.01.2025 00:26	30.01.2025 00:42	null	170
171	30.01.2025 00:48	30.01.2025 01:06	null	171
172	30.01.2025 01:11	30.01.2025 01:20	null	172
182	30.01.2025 17:26	30.01.2025 17:34	null	182
183	30.01.2025 17:29	30.01.2025 17:41	null	183
189	31.01.2025 05:20	31.01.2025 05:32	null	189
192	31.01.2025 07:32	31.01.2025 07:47	null	192
193	31.01.2025 11:07	31.01.2025 11:25	null	193
194	31.01.2025 12:59	31.01.2025 13:08	null	194
200	01.02.2025 00:09	01.02.2025 00:19	null	200
201	01.02.2025 02:53	01.02.2025 03:08	null	201
203	01.02.2025 05:19	01.02.2025 05:32	null	203
204	01.02.2025 06:08	01.02.2025 06:17	null	204
211	01.02.2025 17:52	01.02.2025 18:01	null	211
216	02.02.2025 00:07	02.02.2025 00:20	null	216
218	02.02.2025 05:33	02.02.2025 05:46	null	218
221	02.02.2025 16:46	02.02.2025 16:58	null	221
222	02.02.2025 17:31	02.02.2025 17:39	null	222
223	02.02.2025 18:25	02.02.2025 18:38	null	223
229	02.02.2025 22:48	02.02.2025 23:04	null	229
232	03.02.2025 02:35	03.02.2025 02:45	null	232
234	03.02.2025 07:01	03.02.2025 07:16	null	234
235	03.02.2025 07:49	03.02.2025 08:00	null	235
237	03.02.2025 08:24	03.02.2025 08:33	null	237
243	03.02.2025 16:03	03.02.2025 16:18	null	243
246	03.02.2025 19:13	03.02.2025 19:30	null	246
249	03.02.2025 22:23	03.02.2025 22:32	null	249
250	04.02.2025 03:08	04.02.2025 03:24	null	250
251	04.02.2025 03:22	04.02.2025 03:36	null	251
258	04.02.2025 18:32	04.02.2025 18:48	null	258
259	04.02.2025 18:40	04.02.2025 18:51	null	259
262	05.02.2025 00:08	05.02.2025 00:17	null	262
263	05.02.2025 03:58	05.02.2025 04:07	null	263
267	05.02.2025 09:20	05.02.2025 09:30	null	267
268	05.02.2025 10:18	05.02.2025 10:35	null	268
269	05.02.2025 10:52	05.02.2025 11:10	null	269
273	05.02.2025 17:48	05.02.2025 18:02	null	273
276	06.02.2025 00:31	06.02.2025 00:39	null	276
284	06.02.2025 10:19	06.02.2025 10:37	null	284
297	07.02.2025 21:41	07.02.2025 21:57	null	297
299	07.02.2025 23:21	07.02.2025 23:39	null	299
300	07.02.2025 23:56	08.02.2025 00:07	null	300
301	08.02.2025 02:16	08.02.2025 02:32	null	301
303	08.02.2025 05:42	08.02.2025 05:51	null	303
310	08.02.2025 13:00	08.02.2025 13:16	null	310
312	08.02.2025 17:44	08.02.2025 18:01	null	312
313	08.02.2025 18:28	08.02.2025 18:44	null	313
316	09.02.2025 01:35	09.02.2025 01:48	null	316
318	09.02.2025 06:34	09.02.2025 06:52	null	318
321	09.02.2025 15:49	09.02.2025 16:00	null	321
323	09.02.2025 18:32	09.02.2025 18:42	null	323
324	10.02.2025 02:14	10.02.2025 02:26	null	324
325	10.02.2025 02:43	10.02.2025 02:56	null	325
326	10.02.2025 09:44	10.02.2025 09:57	null	326
327	10.02.2025 12:45	10.02.2025 13:03	null	327
331	10.02.2025 17:06	10.02.2025 17:14	null	331
333	10.02.2025 20:39	10.02.2025 20:56	null	333
334	10.02.2025 22:57	10.02.2025 23:11	null	334
